COUNTRY,BLUES,BRASS_MILITARY,CHILDRENS,CLASSICAL,ELECTRONIC,FOLK_WORLD_COUNTRY,FUNK_SOUL,HIP_HOP,JAZZ,LATIN,NON_MUSIC,POP,REGGAE,ROCK,STAGE_SCREEN,TOTAL
Abkhazia,0,1,0,0,1,9,0,2,0,1,0,5,0,5,0,24
Afghanistan,1000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Samoa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andorra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anguilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antarctica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua & Barbuda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aruba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Asia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australasia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australia & New Zealand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria-Hungary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahamas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barbados,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belgian Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benelux,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bermuda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bohemia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herz.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
British Virgin Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brunei,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burundi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myanmar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cape Verde,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cayman Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central African Rep.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colombia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Comoros,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dem. Rep. Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cook Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Costa Rica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Croatia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cuba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Curaçao,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N. Cyprus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cyprus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czechia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czech Republic & Slovakia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czechoslovakia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dahomey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Denmark,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominican Rep.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dutch East Indies,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Timor-Leste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ecuador,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Egypt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El Salvador,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eq. Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eritrea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Estonia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethiopia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Falkland Is.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faroe Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fiji,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France & Benelux,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
French Guiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
French Polynesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gambia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gaza Strip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
German Democratic Republic (GDR),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany & Switzerland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Germany, Austria, & Switzerland",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ghana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gibraltar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greece,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greenland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Grenada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guadeloupe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guatemala,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guernsey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guinea-Bissau,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gulf Cooperation Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guyana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haiti,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Honduras,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hong Kong,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hong Kong & Thailand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hungary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iceland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indochina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indonesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iran,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iraq,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ireland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Isle Of Man,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Israel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Italy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Côte d'Ivoire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jamaica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Japan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jersey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jordan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kazakhstan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kenya,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kiribati,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Korea (pre-1945),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kosovo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kuwait,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kyrgyzstan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Latvia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lebanon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lesotho,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liberia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Libya,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liechtenstein,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lithuania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luxembourg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Macau,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Macedonia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madagascar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Malawi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Malaysia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maldives,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mali,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Malta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marshall Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Martinique,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritius,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mayotte,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mexico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Middle East,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moldova,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Monaco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mongolia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montenegro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montserrat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Morocco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mozambique,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Namibia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nauru,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netherlands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netherlands Antilles,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Caledonia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Zealand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicaragua,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Niger,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nigeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Niue,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norfolk Island,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North & South America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North America (inc Mexico),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Korea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Northern Mariana Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ottoman Empire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pakistan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Palau,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Palestine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Panama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Papua New Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paraguay,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peru,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Philippines,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitcairn Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Poland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Portugal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Protectorate of Bohemia and Moravia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puerto Rico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Qatar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Reunion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rhodesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Romania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Russia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Russia & CIS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rwanda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saint Kitts and Nevis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saint Lucia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saint Pierre and Miquelon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saint Vincent and the Grenadines,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Samoa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San Marino,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sao Tome and Principe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saudi Arabia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Scandinavia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Senegal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Serbia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Serbia and Montenegro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Seychelles,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sierra Leone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Singapore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Singapore & Malaysia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Singapore, Malaysia & Hong Kong",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Singapore, Malaysia, Hong Kong & Thailand",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sint Maarten,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovakia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovenia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Solomon Is.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Somalia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Somaliland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South East Asia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Korea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Pacific,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Vietnam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South West Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Southern Rhodesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S. Sudan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fr. S. Antarctic Lands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sri Lanka,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sudan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Suriname,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eSwatini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sweden,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Syria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taiwan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tajikistan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tanzania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thailand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Togo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tonga,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Trinidad and Tobago,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tunisia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turkey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turkmenistan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turks and Caicos Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Kingdom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK & Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK & France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK & Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK & Ireland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK & US,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"UK, Europe & Israel",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"UK, Europe & Japan",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"UK, Europe & US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States of America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
USA & Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
USA & Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"USA, Canada & Europe",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"USA, Canada & UK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
USSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uganda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ukraine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Arab Emirates,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Upper Volta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uruguay,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uzbekistan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vanuatu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vatican City,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Venezuela,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vietnam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Virgin Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wallis and Futuna,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bank,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W. Sahara,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Worldwide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yemen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yugoslavia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zaire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zambia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zanzibar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1